league,match_seq,cum_pnl
"Belgium, Challenger Pro League",1,100.0
"Belgium, Challenger Pro League",2,-129.99999999999997
"Belgium, Challenger Pro League",3,-29.99999999999997
"Belgium, Challenger Pro League",4,-290.0
"Belgium, Challenger Pro League",5,-190.0
"Belgium, Challenger Pro League",6,-90.0
"Belgium, Challenger Pro League",7,-315.0
"Belgium, Challenger Pro League",8,-215.0
"Belgium, Challenger Pro League",9,-115.0
"Belgium, Challenger Pro League",10,-340.0
"Belgium, Challenger Pro League",11,-240.0
"Belgium, Challenger Pro League",12,-140.0
"Belgium, Challenger Pro League",13,-40.0
"Belgium, Challenger Pro League",14,60.0
"Belgium, Challenger Pro League",15,-215.0
"Belgium, Challenger Pro League",16,-115.0
"Belgium, Challenger Pro League",17,-375.0
"Belgium, Challenger Pro League",18,-275.0
"Belgium, Challenger Pro League",19,-175.0
"Bolivia, Primera División",1,100.0
"Bolivia, Primera División",2,-129.99999999999997
"Bolivia, Primera División",3,-29.99999999999997
"Bolivia, Primera División",4,70.00000000000003
"Bolivia, Primera División",5,170.00000000000003
"Bolivia, Primera División",6,270.0
"Bolivia, Primera División",7,370.0
"Bolivia, Primera División",8,470.0
"Bolivia, Primera División",9,570.0
"Bolivia, Primera División",10,670.0
"Bolivia, Primera División",11,770.0
"Bolivia, Primera División",12,870.0
"Bolivia, Primera División",13,970.0
"Bolivia, Primera División",14,1070.0
"Bolivia, Primera División",15,1170.0
"Bolivia, Primera División",16,1270.0
"Bolivia, Primera División",17,1370.0
"Bolivia, Primera División",18,1470.0
"Bolivia, Primera División",19,1570.0
"Bolivia, Primera División",20,1670.0
"Bolivia, Primera División",21,1770.0
"Bolivia, Primera División",22,1870.0
"Bolivia, Primera División",23,1970.0
"Bolivia, Primera División",24,2070.0
"Bolivia, Primera División",25,2170.0
"Bolivia, Primera División",26,2270.0
"Bolivia, Primera División",27,2370.0
"Bolivia, Primera División",28,2470.0
"Bolivia, Primera División",29,2570.0
"Bolivia, Primera División",30,2670.0
"Bolivia, Primera División",31,2440.0
"Bolivia, Primera División",32,2540.0
"Brazil, Serie A",1,100.0
