match_seq,cum_pnl
1,-275.0
2,-175.0
3,-75.0
4,-300.0
5,-200.0
6,-100.0
7,0.0
8,100.0
9,200.0
10,300.0
11,30.0
12,130.0
13,230.0
14,330.0
15,430.0
16,530.0
17,290.0
18,390.0
19,190.0
20,290.0
21,390.0
22,490.0
23,590.0
24,690.0
25,460.0
26,560.0
27,330.0
28,430.0
29,530.0
30,630.0
31,400.0
32,500.0
33,600.0
34,700.0
35,800.0
36,550.0
37,650.0
38,750.0
39,850.0
40,950.0
41,1050.0
42,1150.0
43,1250.0
44,1350.0
45,1450.0
46,1550.0
47,1650.0
48,1750.0
49,1850.0
50,1950.0
51,2050.0
52,2150.0
53,2250.0
54,2350.0
55,2150.0
56,2250.0
57,2350.0
58,2450.0
59,2240.0
60,1980.0
61,2080.0
62,2180.0
63,2280.0
64,2380.0
65,2480.0
66,2580.0
67,2680.0
68,2780.0
69,2480.0
70,2580.0
71,2680.0
72,2780.0
73,2880.0
74,2980.0
75,2730.0
76,2830.0
77,2930.0
78,3030.0
79,3130.0
80,3230.0
81,3330.0
82,3430.0
83,3530.0
84,3630.0
85,3410.0
86,3170.0
87,3270.0
88,3370.0
89,3470.0
90,3570.0
91,3360.0
92,3460.0
93,3250.0
94,2990.0
95,3090.0
96,3190.0
97,2960.0
98,3060.0
99,3160.0
100,3260.0
101,3360.0
102,3130.0
103,3230.0
104,3330.0
105,3080.0
106,3180.0
107,3280.0
108,3380.0
109,3480.0
110,3580.0
111,3680.0
112,3455.0
113,3245.0
114,3345.0
115,3445.0
116,3545.0
117,3645.0
118,3420.0
119,3520.0
120,3620.0
121,3720.0
122,3820.0
123,3920.0
124,3730.0
125,3830.0
126,3930.0
127,4030.0
128,4130.0
129,4230.0
130,4330.0
131,4430.0
132,4530.0
133,4630.0
134,4730.0
135,4830.0
136,4555.0
137,4295.0
138,4395.0
139,4155.0
140,4255.0
141,3985.0
142,3760.0
143,3860.0
144,3590.0
145,3380.0
146,3480.0
147,3580.0
148,3680.0
149,3780.0
150,3880.0
151,3980.0
152,4080.0
153,4180.0
154,4280.0
155,4380.0
156,4480.0
157,4580.0
158,4680.0
159,4780.0
160,4520.0
161,4620.0
162,4360.0
163,4120.0
164,4220.0
165,4320.0
166,4420.0
167,4520.0
168,4620.0
169,4395.0
170,4495.0
171,4595.0
172,4335.0
173,4435.0
174,4535.0
175,4635.0
176,4735.0
177,4835.0
178,4935.0
179,5035.0
180,4745.0
181,4845.0
182,4635.0
183,4735.0
184,4835.0
185,4935.0
186,4665.0
187,4425.0
188,4525.0
189,4625.0
190,4725.0
191,4825.0
192,4925.0
