league,samples_00_at60,p_00,p_other_draw,p_decisive_if_00_at_60
"Bolivia, Primera División",8,0.0,0.0,1.0
"Cyprus, 1. Division",1,0.0,0.0,1.0
"Netherlands, Eredivisie",5,0.0,0.0,1.0
"Ecuador, Liga Pro Serie B",3,0.0,0.0,1.0
"Northern-Ireland, Premiership",6,0.16666666666666666,0.0,0.8333333333333334
"England, Premier League 2 Division One",6,0.16666666666666666,0.0,0.8333333333333334
"Denmark, Superliga",5,0.0,0.2,0.8
"Iceland, 1. Deild",5,0.0,0.2,0.8
"Chile, Primera División",10,0.1,0.1,0.8
"Germany, 2. Bundesliga",14,0.14285714285714285,0.07142857142857142,0.7857142857142857
"Switzerland, Challenge League",4,0.25,0.0,0.75
"Greece, Super League 1",4,0.25,0.0,0.75
"Lithuania, 1 Lyga",4,0.25,0.0,0.75
"Jordan, League",4,0.25,0.0,0.75
"Netherlands, Eerste Divisie",7,0.14285714285714285,0.14285714285714285,0.7142857142857143
"Japan, J3 League",10,0.2,0.1,0.7
"England, League Two",20,0.25,0.05,0.7
"France, Ligue 1",10,0.2,0.1,0.7
"Kazakhstan, Premier League",6,0.3333333333333333,0.0,0.6666666666666666
"Brazil, Serie A",21,0.23809523809523808,0.09523809523809523,0.6666666666666666
"England, League One",29,0.20689655172413793,0.13793103448275862,0.6551724137931034
