league,matches,first_entry_pnl,second_entry_pnl,total_pnl,qualified_for_second,roi_pct
"Belgium, Challenger Pro League",19,-175.0,0.0,-175.0,No,-9.210526315789473
"Bolivia, Primera División",32,2540.0,500.0,3040.0,Yes,95.0
"Brazil, Serie A",97,2275.0,700.0,2975.0,Yes,30.670103092783506
"Chile, Primera División",43,1120.0,800.0,1920.0,Yes,44.651162790697676
"Chile, Segunda División",11,70.0,0.0,70.0,No,6.363636363636363
"Croatia, HNL",18,500.00000000000006,0.0,500.00000000000006,No,27.77777777777778
"Cyprus, 1. Division",6,600.0,0.0,600.0,Yes,100.0
"Denmark, Superliga",30,1960.0,500.0,2460.0,Yes,82.0
"Ecuador, Liga Pro Serie B",8,475.0,200.0,675.0,Yes,84.375
"England, FA WSL",12,505.0,0.0,505.0,No,42.083333333333336
"England, League One",94,1530.0,900.0,2430.0,Yes,25.851063829787236
"England, League Two",87,1560.0,300.0,1860.0,Yes,21.379310344827587
"England, National League - North",98,1560.0000000000002,0.0,1560.0000000000002,No,15.918367346938778
"England, Premier League 2 Division One",23,-30.0,300.0,270.0,Yes,11.73913043478261
"Estonia, Meistriliiga",10,280.0,0.0,280.0,No,28.000000000000004
"France, Ligue 1",30,560.0,400.0,960.0,Yes,32.0
"Germany, 2. Bundesliga",41,1260.0,700.0,1960.0,Yes,47.80487804878049
"Germany, 3. Liga",45,455.0000000000001,0.0,455.0000000000001,No,10.111111111111114
"Germany, Bundesliga",20,550.0,0.0,550.0,No,27.500000000000004
"Greece, Super League 1",11,330.0,100.0,430.0,Yes,39.09090909090909
"Iceland, 1. Deild",29,1035.0,400.0,1435.0,Yes,49.48275862068965
"Indonesia, Liga 1",31,174.99999999999997,0.0,174.99999999999997,No,5.64516129032258
"Ireland, First Division",35,420.0,0.0,420.0,No,12.0
"Japan, J3 League",80,2720.0,1100.0,3820.0,Yes,47.75
"Jordan, League",10,260.0,0.0,260.0,Yes,26.0
"Kazakhstan, Premier League",13,125.00000000000003,0.0,125.0,Yes,9.615384615384617
"Lithuania, 1 Lyga",5,100.0,0.0,100.0,Yes,20.0
"Netherlands, Eerste Divisie",28,570.0,100.0,670.0,Yes,23.92857142857143
"Netherlands, Eredivisie",30,360.0,500.0,860.0,Yes,28.666666666666668
"Northern-Ireland, Premiership",23,1365.0,300.0,1665.0,Yes,72.3913043478261
"Norway, 2. Division - Group 1",4,400.0,0.0,400.0,No,100.0
"Norway, Eliteserien",47,2295.0,0.0,2295.0,No,48.829787234042556
"Romania, Liga II",17,465.0,0.0,465.0,No,27.35294117647059
"Saudi-Arabia, Pro League",3,-90.0,0.0,-90.0,No,-30.0
"Scotland, League One",18,1120.0,0.0,1120.0,No,62.22222222222222
"Serbia, Super Liga",35,-25.0,0.0,-25.0,No,-0.7142857142857143
"Slovenia, 1. SNL",26,430.0,0.0,430.0,No,16.538461538461537
"Sweden, Allsvenskan",43,780.0,0.0,780.0,No,18.13953488372093
"Sweden, Ettan - Norra",21,380.0000000000001,0.0,380.0000000000001,No,18.095238095238102
"Sweden, Ettan - Södra",32,-79.99999999999994,0.0,-79.99999999999994,No,-2.4999999999999982
"Sweden, Superettan",64,205.00000000000003,0.0,205.00000000000003,No,3.2031250000000004
"Switzerland, Challenge League",22,-30.0,-100.0,-130.0,Yes,-5.909090909090909
"Switzerland, Super League",23,1195.0,0.0,1195.0,No,51.95652173913044
"Venezuela, Primera División",41,1650.0,0.0,1650.0,No,40.243902439024396
